id,code,tsr_division_code,name
"316","705","70","スポーツ・娯楽用品賃貸業"
"317","709","70","その他の物品賃貸業"
"318","711","71","自然科学研究所"
"319","712","71","人文・社会科学研究所"
"320","721","72","法律事務所，特許事務所"
"321","722","72","公証人役場，司法書士事務所，土地家屋調査士事務所"
"322","723","72","行政書士事務所"
"323","724","72","公認会計士事務所，税理士事務所"
"324","725","72","社会保険労務士事務所"
"325","726","72","デザイン業"
"326","727","72","著述・芸術家業"
"327","728","72","経営コンサルタント業，純粋持株会社"
"328","729","72","その他の専門サービス業"
"329","731","73","広告業"
"330","741","74","獣医業"
"331","742","74","土木建築サービス業"
"332","743","74","機械設計業"
"333","744","74","商品・非破壊検査業"
"334","745","74","計量証明業"
"335","746","74","写真業"
"336","749","74","その他の技術サービス業"
"337","751","75","旅館，ホテル"
"338","752","75","簡易宿所"
"339","753","75","下宿業"
"340","759","75","その他の宿泊業"
"341","761","76","食堂，レストラン（専門料理店を除く）"
"342","762","76","専門料理店"
"343","763","76","そば・うどん店"
"344","764","76","すし店"
"345","765","76","酒場，ビヤホール"
"346","766","76","バー，キャバレー，ナイトクラブ"
"347","767","76","喫茶店"
"348","769","76","その他の飲食店"
"349","771","77","持ち帰り飲食サービス業"
"350","772","77","配達飲食サービス業"
"351","781","78","洗濯業"
"352","782","78","理容業"
"353","783","78","美容業"
"354","784","78","一般公衆浴場業"
"355","785","78","その他の公衆浴場業"
"356","789","78","その他の洗濯・理容・美容・浴場業"
"357","791","79","旅行業"
"358","792","79","家事サービス業"
"359","793","79","衣服裁縫修理業"
"360","794","79","物品預り業"
"361","795","79","火葬・墓地管理業"
"362","796","79","冠婚葬祭業"
"363","799","79","他に分類されない生活関連サービス業"
"364","801","80","映画館"
"365","802","80","興行場（別掲を除く），興行団"
"366","803","80","競輪・競馬等の競走場，競技団"
"367","804","80","スポーツ施設提供業"
"368","805","80","公園，遊園地"
"369","806","80","遊戯場"
"370","809","80","その他の娯楽業"
"371","811","81","幼稚園"
"372","812","81","小学校"
"373","813","81","中学校"
"374","814","81","高等学校，中等教育学校"
"375","815","81","特別支援学校"
"376","816","81","高等教育機関"
"377","817","81","専修学校，各種学校"
"378","818","81","学校教育支援機関"
"379","821","82","社会教育"
"380","822","82","職業・教育支援施設"
"381","823","82","学習塾"
"382","824","82","教養・技能教授業"
"383","829","82","他に分類されない教育，学習支援業"
"384","831","83","病院"
"385","832","83","一般診療所"
"386","833","83","歯科診療所"
"387","834","83","助産・看護業"
"388","835","83","療術業"
"389","836","83","医療に附帯するサービス業"
"390","841","84","保健所"
"391","842","84","健康相談施設"
"392","849","84","その他の保健衛生"
"393","851","85","社会保険事業団体"
"394","852","85","福祉事務所"
"395","853","85","児童福祉事業"
"396","854","85","老人福祉・介護事業"
"397","855","85","障害者福祉事業"
"398","859","85","その他の社会保険・社会福祉・介護事業"
"399","861","86","郵便局"
"400","862","86","郵便局受託業"
"401","871","87","農林水産業協同組合（他に分類されないもの）"
"402","872","87","事業協同組合（他に分類されないもの）"
"403","881","88","一般廃棄物処理業"
"404","882","88","産業廃棄物処理業"
"405","889","88","その他の廃棄物処理業"
"406","891","89","自動車整備業"
"407","901","90","機械修理業（電気機械器具を除く）"
"408","902","90","電気機械器具修理業"
"409","903","90","表具業"
"410","909","90","その他の修理業"
"411","911","91","職業紹介業"
"412","912","91","労働者派遣業"
"413","921","92","速記・ワープロ入力・複写業"
"414","922","92","建物サービス業"
"415","923","92","警備業"
"416","929","92","他に分類されない事業サービス業"
"417","931","93","経済団体"
