大分類コード,中分類コード,小分類コード,細分類コード,項目名
E,10,105,1051,たばこ製造業（葉たばこ処理業を除く)
E,10,105,1052,葉たばこ処理業
E,10,106,0000,飼料・有機質肥料製造業
E,10,106,1061,配合飼料製造業
E,10,106,1062,単体飼料製造業
E,10,106,1063,有機質肥料製造業
E,11,000,0000,繊維工業
E,11,110,0000,管理，補助的経済活動を行う事業所（11繊維工業）
E,11,110,1100,主として管理事務を行う本社等
E,11,110,1109,その他の管理，補助的経済活動を行う事業所
E,11,111,0000,製糸業，紡績業，化学繊維・ねん糸等製造業
E,11,111,1111,製糸業
E,11,111,1112,化学繊維製造業
E,11,111,1113,炭素繊維製造業
E,11,111,1114,綿紡績業
E,11,111,1115,化学繊維紡績業
E,11,111,1116,毛紡績業
E,11,111,1117,ねん糸製造業（かさ高加工糸を除く）
E,11,111,1118,かさ高加工糸製造業
E,11,111,1119,その他の紡績業
E,11,112,0000,織物業
E,11,112,1121,綿・スフ織物業
E,11,112,1122,絹・人絹織物業
E,11,112,1123,毛織物業
E,11,112,1124,麻織物業
E,11,112,1125,細幅織物業
E,11,112,1129,その他の織物業
E,11,113,0000,ニット生地製造業
E,11,113,1131,丸編ニット生地製造業
E,11,113,1132,たて編ニット生地製造業
E,11,113,1133,横編ニット生地製造業
E,11,114,0000,染色整理業
E,11,114,1141,綿・スフ・麻織物機械染色業
E,11,114,1142,絹・人絹織物機械染色業
E,11,114,1143,毛織物機械染色整理業
E,11,114,1144,織物整理業
E,11,114,1145,織物手加工染色整理業
E,11,114,1146,綿状繊維・糸染色整理業
E,11,114,1147,ニット・レース染色整理業
E,11,114,1148,繊維雑品染色整理業
E,11,115,0000,綱・網・レース・繊維粗製品製造業
E,11,115,1151,綱製造業
E,11,115,1152,漁網製造業
E,11,115,1153,網地製造業（漁網を除く）
E,11,115,1154,レース製造業
E,11,115,1155,組ひも製造業
E,11,115,1156,整毛業
E,11,115,1157,フェルト・不織布製造業
E,11,115,1158,上塗りした織物・防水した織物製造業
E,11,115,1159,その他の繊維粗製品製造業
E,11,116,0000,外衣・シャツ製造業（和式を除く）
E,11,116,1161,織物製成人男子・少年服製造業（不織布製及びレース製を含む）
E,11,116,1162,織物製成人女子・少女服製造業（不織布製及びレース製を含む）
E,11,116,1163,織物製乳幼児服製造業（不織布製及びレース製を含む）
E,11,116,1164,織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）
E,11,116,1165,織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）
E,11,116,1166,ニット製外衣製造業（アウターシャツ類，セーター類などを除く）
E,11,116,1167,ニット製アウターシャツ類製造業
E,11,116,1168,セーター類製造業
E,11,116,1169,その他の外衣・シャツ製造業
E,11,117,0000,下着類製造業
E,11,117,1171,織物製下着製造業
E,11,117,1172,ニット製下着製造業
E,11,117,1173,織物製・ニット製寝着類製造業
E,11,117,1174,補整着製造業
E,11,118,0000,和装製品・その他の衣服・繊維製身の回り品製造業
E,11,118,1181,和装製品製造業（足袋を含む）
E,11,118,1182,ネクタイ製造業
E,11,118,1183,スカーフ・マフラー・ハンカチーフ製造業
E,11,118,1184,靴下製造業
E,11,118,1185,手袋製造業
E,11,118,1186,帽子製造業（帽体を含む）
E,11,118,1189,他に分類されない衣服・繊維製身の回り品製造業
E,11,119,0000,その他の繊維製品製造業
E,11,119,1191,寝具製造業
E,11,119,1192,毛布製造業
E,11,119,1193,じゅうたん・その他の繊維製床敷物製造業
E,11,119,1194,帆布製品製造業
E,11,119,1195,繊維製袋製造業
E,11,119,1196,刺しゅう業
E,11,119,1197,タオル製造業
E,11,119,1198,繊維製衛生材料製造業
E,11,119,1199,他に分類されない繊維製品製造業
E,12,000,0000,木材・木製品製造業（家具を除く）
E,12,120,0000,管理，補助的経済活動を行う事業所（12木材・木製品製造業）
E,12,120,1200,主として管理事務を行う本社等
E,12,120,1209,その他の管理，補助的経済活動を行う事業所
E,12,121,0000,製材業，木製品製造業
E,12,121,1211,一般製材業
E,12,121,1212,単板（ベニヤ）製造業
E,12,121,1213,木材チップ製造業
E,12,121,1219,その他の特殊製材業
E,12,122,0000,造作材・合板・建築用組立材料製造業
E,12,122,1221,造作材製造業（建具を除く）
E,12,122,1222,合板製造業
E,12,122,1223,集成材製造業
E,12,122,1224,建築用木製組立材料製造業
E,12,122,1225,パーティクルボード製造業
E,12,122,1226,繊維板製造業
E,12,122,1227,銘木製造業
E,12,122,1228,床板製造業
E,12,123,0000,木製容器製造業（竹，とうを含む）
E,12,123,1231,竹・とう・きりゅう等容器製造業
E,12,123,1232,木箱製造業
E,12,123,1233,たる・おけ製造業
E,12,129,0000,その他の木製品製造業(竹，とうを含む)
E,12,129,1291,木材薬品処理業
E,12,129,1292,コルク加工基礎資材・コルク製品製造業
E,12,129,1299,他に分類されない木製品製造業(竹，とうを含む)
E,13,000,0000,家具・装備品製造業
E,13,130,0000,管理，補助的経済活動を行う事業所（13家具・装備品製造業）
E,13,130,1300,主として管理事務を行う本社等
E,13,130,1309,その他の管理，補助的経済活動を行う事業所
E,13,131,0000,家具製造業
E,13,131,1311,木製家具製造業（漆塗りを除く）
E,13,131,1312,金属製家具製造業
E,13,131,1313,マットレス・組スプリング製造業
