code,jsic_group_code,name
"1669","166","その他の化粧品・歯磨・化粧用調整品製造業"
"1691","169","火薬類製造業"
"1692","169","農薬製造業"
"1693","169","香料製造業"
"1694","169","ゼラチン・接着剤製造業"
"1695","169","写真感光材料製造業"
"1696","169","天然樹脂製品・木材化学製品製造業"
"1697","169","試薬製造業"
"1699","169","他に分類されない化学工業製品製造業"
"1700","170","主として管理事務を行う本社等"
"1709","170","その他の管理，補助的経済活動を行う事業所"
"1711","171","石油精製業"
"1721","172","潤滑油・グリース製造業（石油精製業によらないもの）"
"1731","173","コークス製造業"
"1741","174","舗装材料製造業"
"1799","179","その他の石油製品・石炭製品製造業"
"1800","180","主として管理事務を行う本社等"
"1809","180","その他の管理，補助的経済活動を行う事業所"
"1811","181","プラスチック板・棒製造業"
"1812","181","プラスチック管製造業"
"1813","181","プラスチック継手製造業"
"1814","181","プラスチック異形押出製品製造業"
"1815","181","プラスチック板・棒・管・継手・異形押出製品加工業"
"1821","182","プラスチックフィルム製造業"
"1822","182","プラスチックシート製造業"
"1823","182","プラスチック床材製造業"
"1824","182","合成皮革製造業"
"1825","182","プラスチックフィルム・シート・床材・合成皮革加工業"
"1831","183","電気機械器具用プラスチック製品製造業（加工業を除く）"
"1832","183","輸送機械器具用プラスチック製品製造業（加工業を除く）"
"1833","183","その他の工業用プラスチック製品製造業（加工業を除く）"
"1834","183","工業用プラスチック製品加工業"
"1841","184","軟質プラスチック発泡製品製造業（半硬質性を含む）"
"1842","184","硬質プラスチック発泡製品製造業"
"1843","184","強化プラスチック製板・棒・管・継手製造業"
"1844","184","強化プラスチック製容器・浴槽等製造業"
"1845","184","発泡・強化プラスチック製品加工業"
"1851","185","プラスチック成形材料製造業"
"1852","185","廃プラスチック製品製造業"
"1891","189","プラスチック製日用雑貨・食卓用品製造業"
"1892","189","プラスチック製容器製造業"
"1897","189","他に分類されないプラスチック製品製造業"
"1898","189","他に分類されないプラスチック製品加工業"
"1900","190","主として管理事務を行う本社等"
"1909","190","その他の管理，補助的経済活動を行う事業所"
"1911","191","自動車タイヤ・チューブ製造業"
"1919","191","その他のタイヤ・チューブ製造業"
"1921","192","ゴム製履物・同附属品製造業"
"1922","192","プラスチック製履物・同附属品製造業"
"1931","193","ゴムベルト製造業"
"1932","193","ゴムホース製造業"
"1933","193","工業用ゴム製品製造業"
"1991","199","ゴム引布・同製品製造業"
"1992","199","医療・衛生用ゴム製品製造業"
"1993","199","ゴム練生地製造業"
"1994","199","更生タイヤ製造業"
"1995","199","再生ゴム製造業"
"1999","199","他に分類されないゴム製品製造業"
"2000","200","主として管理事務を行う本社等"
"2009","200","その他の管理，補助的経済活動を行う事業所"
"2011","201","なめし革製造業"
"2021","202","工業用革製品製造業（手袋を除く）"
"2031","203","革製履物用材料・同附属品製造業"
"2041","204","革製履物製造業"
"2051","205","革製手袋製造業"
"2061","206","かばん製造業"
"2071","207","袋物製造業（ハンドバッグを除く）"
"2072","207","ハンドバッグ製造業"
"2081","208","毛皮製造業"
"2099","209","その他のなめし革製品製造業"
"2100","210","主として管理事務を行う本社等"
"2109","210","その他の管理，補助的経済活動を行う事業所"
"2111","211","板ガラス製造業"
"2112","211","板ガラス加工業"
"2113","211","ガラス製加工素材製造業"
"2114","211","ガラス容器製造業"
"2115","211","理化学用・医療用ガラス器具製造業"
"2116","211","卓上用・ちゅう房用ガラス器具製造業"
"2117","211","ガラス繊維・同製品製造業"
"2119","211","その他のガラス・同製品製造業"
"2121","212","セメント製造業"
"2122","212","生コンクリート製造業"
